Sr No.,Name,Roll No,Branch,Python-1,SQL,Calculus-1,Python-2,Hackathon-1,Calculus-2,SM-1,Linear Algebra,Discrete Mathematics,Hackathon-2,DSA,SM-2
381,Garrett Daugherty,STU0381,B.Tech AIDS,23.25,92.98,27.59,55.48,69.8,35.73,71.31,19.27,86.3,50.35,35.09,42.52
382,Jeremy Wade,STU0382,B.Tech AIDS,70.22,35.39,31.27,44.46,20.58,95.51,35.84,70.79,55.24,25.39,49.85,69.6
383,Jeremy Smith,STU0383,B.Tech AIDS,45.29,79.83,75.54,72.97,38.51,23.0,34.66,54.91,63.64,0.0,49.8,53.95
384,Phillip Rosales,STU0384,B.Tech CSE,43.06,82.28,60.54,82.75,44.6,73.44,90.88,82.79,22.7,43.66,41.37,62.23
385,Steven King,STU0385,B.Tech CSE,67.16,29.03,51.7,0.0,86.05,37.19,51.4,42.26,78.65,0.0,49.58,47.35
386,Jeffrey Fox,STU0386,B.Tech CSE,38.66,93.16,27.82,69.29,58.91,81.54,33.32,31.68,77.4,60.63,11.38,36.52
387,Alex Green,STU0387,B.Tech CSE,59.66,70.94,33.02,0.0,63.08,19.49,0.0,0.0,70.35,53.22,44.36,84.73
388,Tiffany Stone,STU0388,B.Tech AIML,65.93,90.41,15.18,49.14,9.58,44.27,43.78,65.67,51.14,65.59,67.59,100.0
389,Ryan Patterson,STU0389,B.Tech AIML,42.12,26.47,56.15,29.94,87.05,42.92,35.86,38.22,67.96,46.06,33.96,91.63
390,Christina Mckee DVM,STU0390,B.Tech AIDS,28.6,50.89,66.31,9.22,62.01,23.62,70.57,25.93,67.32,77.65,71.54,56.28
391,Mr. Timothy Palmer Jr.,STU0391,B.Tech AIDS,44.22,35.59,86.78,32.51,24.07,66.63,30.1,26.25,13.91,37.93,47.93,56.08
392,Mrs. Ashley Hensley,STU0392,B.Tech CSE,73.78,63.17,45.23,45.05,62.75,81.81,53.16,38.27,25.18,13.87,66.66,64.45
393,Alan Waters,STU0393,B.Tech CSE,64.43,46.78,85.17,37.9,73.88,49.03,34.79,64.81,60.24,58.92,52.03,49.05
394,Dr. Philip Bass,STU0394,B.Tech CSE,100.0,79.61,68.07,52.79,75.18,62.95,50.66,42.41,47.98,0.0,55.27,37.79
395,Robert Lloyd,STU0395,B.Tech CSE,89.82,50.48,20.28,48.75,23.85,61.84,57.27,73.95,30.23,50.85,15.87,67.54
396,Hannah Martin,STU0396,B.Tech CSE,62.97,62.4,50.04,60.37,90.11,42.87,53.47,22.85,28.29,52.45,77.6,43.59
397,Matthew Banks,STU0397,B.Tech CSE,44.1,39.83,36.63,57.37,12.57,82.02,33.36,68.05,18.25,66.72,66.8,59.61
398,Katherine Walker,STU0398,B.Tech CSE,25.14,56.24,20.42,43.68,75.74,69.92,50.38,25.63,66.14,50.48,0.0,69.57
399,Mrs. Susan Cox,STU0399,B.Tech AIDS,49.39,80.06,22.62,0.0,56.98,57.29,7.73,25.54,100.0,42.36,68.27,33.73
400,Michael Rodriguez,STU0400,B.Tech AIDS,0.0,45.74,43.36,40.0,47.13,56.61,46.25,18.4,62.15,1.27,0.0,68.48
401,Carrie Bernard,STU0401,B.Tech AIML,62.68,48.57,15.11,32.3,43.43,10.1,31.52,66.31,85.68,39.51,68.91,2.15
402,Cameron Jacobs,STU0402,B.Tech CSE,66.49,29.9,57.68,43.81,83.01,28.14,65.69,43.01,46.04,45.4,28.86,49.65
403,Michael Nelson,STU0403,B.Tech CSE,48.43,56.03,52.11,69.95,73.09,23.73,71.72,20.34,64.7,65.49,2.22,52.32
404,James Patterson,STU0404,B.Tech AIDS,38.29,31.03,83.77,33.66,29.84,51.89,67.14,46.46,79.16,63.27,0.0,36.76
405,Jessica Gonzalez,STU0405,B.Tech CSE,35.95,61.98,0.0,100.0,63.28,53.72,79.54,100.0,71.77,73.72,53.27,46.46
406,Andrea Coleman,STU0406,B.Tech CSE,38.11,29.35,32.82,16.24,48.1,7.88,54.77,49.09,53.67,36.95,100.0,84.0
407,Holly Perkins,STU0407,B.Tech AIDS,18.89,55.82,34.8,24.64,16.5,60.81,32.97,74.2,74.84,84.35,28.69,61.88
408,Lawrence Roberts,STU0408,B.Tech AIDS,65.81,38.15,30.71,90.24,55.69,65.9,29.45,19.52,35.76,46.9,23.39,49.75
409,Susan Oneal,STU0409,B.Tech AIML,7.79,22.0,66.77,65.09,40.2,24.56,24.31,40.67,66.11,73.21,37.59,21.16
410,Rhonda Grant,STU0410,B.Tech CSE,56.7,29.41,37.04,83.13,70.68,53.95,18.2,55.28,76.57,40.61,83.78,82.32
411,Todd Curtis,STU0411,B.Tech CSE,91.59,57.63,64.68,85.35,61.18,37.47,38.79,55.96,17.74,46.42,77.41,0.0
412,Kathryn Dean,STU0412,B.Tech AIML,88.36,78.06,38.51,63.58,50.08,80.75,74.57,15.0,64.68,44.86,52.07,31.8
413,Michael White,STU0413,B.Tech CSE,93.7,76.0,31.51,16.63,40.36,60.86,56.01,81.33,69.75,74.24,58.17,15.27
414,Dr. Robert Jimenez DDS,STU0414,B.Tech CSE,45.11,76.5,48.71,62.58,42.03,24.25,46.92,57.73,33.61,44.11,26.51,77.98
415,Traci Nelson,STU0415,B.Tech AIML,42.64,86.32,88.22,47.97,24.79,0.0,13.2,15.65,84.46,52.9,59.74,0.0
416,Raymond Vargas,STU0416,B.Tech AIML,20.05,72.18,57.17,46.32,64.12,90.89,44.47,51.73,54.81,100.0,0.0,67.08
417,Philip Martin,STU0417,B.Tech AIDS,47.13,64.17,33.57,48.78,67.79,100.0,70.2,28.8,39.41,38.66,5.11,41.75
418,Jamie Peterson,STU0418,B.Tech CSE,68.32,18.14,76.21,62.19,31.64,46.46,89.96,68.34,50.22,44.06,51.92,37.21
419,Victoria Thomas,STU0419,B.Tech AIDS,0.0,100.0,53.88,59.95,48.55,31.62,45.35,10.02,100.0,19.14,24.2,38.99
420,Jessica Case,STU0420,B.Tech CSE,82.2,50.36,19.1,81.36,68.28,63.46,67.89,100.0,100.0,32.83,90.6,59.58
421,Keith Garcia,STU0421,B.Tech AIML,62.48,7.69,45.74,29.68,70.7,76.78,0.0,49.45,78.05,45.33,68.23,58.78
422,William Rubio,STU0422,B.Tech CSE,58.54,43.22,19.59,21.96,67.73,50.49,46.54,39.4,42.37,76.17,41.62,16.47
423,Erin Dickson,STU0423,B.Tech AIML,68.59,44.88,50.78,90.19,49.49,57.23,20.53,44.51,65.24,11.12,55.02,52.52
424,Erica Martinez,STU0424,B.Tech AIDS,51.03,75.93,58.36,86.95,25.16,53.4,52.11,23.27,73.91,100.0,49.57,62.63
425,Kenneth Taylor,STU0425,B.Tech AIDS,52.11,32.16,4.48,32.36,15.2,92.6,47.12,41.35,72.23,21.96,30.83,51.7
426,Beth Spears,STU0426,B.Tech AIDS,75.72,62.54,56.21,51.95,60.01,55.04,24.25,51.15,23.16,52.03,37.98,100.0
427,Kimberly Harper,STU0427,B.Tech AIDS,49.0,14.89,46.65,62.98,91.83,35.26,10.44,70.42,15.49,39.1,43.56,48.26
428,Danielle Hamilton MD,STU0428,B.Tech CSE,67.23,32.91,43.16,49.64,53.74,52.45,60.9,71.1,59.82,61.34,10.44,51.26
429,William Collier,STU0429,B.Tech CSE,61.99,68.22,32.69,33.52,35.65,63.41,75.85,39.81,72.7,53.09,46.89,44.72
430,Scott Martinez,STU0430,B.Tech CSE,68.67,58.14,100.0,28.69,62.95,36.77,28.27,49.73,53.43,100.0,45.4,21.75
431,Donald Moore,STU0431,B.Tech AIML,56.83,0.0,47.7,50.4,69.87,74.34,37.41,46.23,30.85,21.8,57.75,18.16
432,Andrew Gibson,STU0432,B.Tech AIML,39.63,25.12,63.74,95.04,17.46,3.67,46.88,50.39,55.47,38.84,44.98,59.19
433,Sarah Morrison,STU0433,B.Tech AIML,76.01,1.12,40.78,55.35,27.05,93.28,34.11,48.97,63.9,35.22,3.84,39.28
434,John Rivera,STU0434,B.Tech CSE,75.74,41.58,28.84,73.14,41.73,37.25,53.74,69.27,100.0,70.68,79.0,37.35
435,Nicholas Hall,STU0435,B.Tech AIML,24.35,51.56,52.68,23.04,45.62,59.98,59.01,62.61,57.27,37.32,37.15,20.03
436,Amy Elliott,STU0436,B.Tech CSE,94.62,50.34,44.38,26.78,100.0,23.17,39.28,60.4,65.01,73.95,95.19,62.65
437,Samantha Farmer,STU0437,B.Tech AIDS,23.6,43.58,57.7,100.0,15.05,80.06,54.5,70.95,47.45,28.94,68.77,66.36
438,Alexander Nichols,STU0438,B.Tech AIML,74.3,49.67,35.0,11.03,70.48,60.6,25.86,36.54,38.33,12.93,29.56,21.65
439,Jodi Brooks,STU0439,B.Tech AIML,39.69,31.53,9.32,100.0,81.31,30.52,56.81,60.44,79.78,29.53,77.3,36.3
440,Maria Luna,STU0440,B.Tech AIDS,16.6,68.1,82.27,100.0,20.01,67.47,39.75,69.58,13.24,18.43,30.6,51.97
441,Ryan Garcia,STU0441,B.Tech AIML,33.97,66.48,75.67,64.99,90.47,60.4,19.58,84.08,34.87,72.76,89.34,61.42
442,Robert Chambers,STU0442,B.Tech AIML,12.6,27.04,83.07,45.77,51.99,68.97,67.41,56.97,44.78,42.18,71.45,63.84
443,Jessica Nguyen,STU0443,B.Tech CSE,43.57,77.05,46.77,28.71,31.03,25.53,43.19,80.84,29.87,54.71,33.58,43.49
444,Garrett Miles DVM,STU0444,B.Tech CSE,12.25,44.49,45.16,63.51,55.58,20.04,77.1,55.26,54.96,49.77,37.06,55.45
445,Melissa Brown MD,STU0445,B.Tech AIDS,61.89,6.33,36.53,43.63,56.4,79.83,30.71,37.55,37.19,29.96,41.32,69.27
446,Julie Ward,STU0446,B.Tech CSE,23.65,60.7,7.45,35.97,41.76,91.87,43.13,0.0,0.03,50.85,65.34,59.39
447,Paige Campbell,STU0447,B.Tech CSE,54.19,79.06,36.51,72.37,9.2,27.38,4.82,43.13,48.84,52.85,51.55,26.81
448,Jay Jones,STU0448,B.Tech CSE,45.24,12.56,84.08,42.41,37.78,89.72,18.94,21.86,22.59,48.3,60.79,68.49
449,Mrs. Abigail Rodriguez DDS,STU0449,B.Tech AIDS,100.0,0.0,65.22,36.07,35.34,34.51,27.28,92.11,71.06,50.58,83.78,12.19
450,Kyle Morrow,STU0450,B.Tech AIDS,16.73,0.0,32.51,54.04,52.57,53.73,14.72,70.08,55.99,68.33,2.68,57.79
451,Paul Bauer,STU0451,B.Tech AIDS,20.31,40.07,63.36,52.28,28.71,50.16,11.71,78.76,44.87,77.96,36.84,36.91
452,Tim Anderson,STU0452,B.Tech AIML,30.9,71.9,32.26,66.11,40.44,0.6,35.74,20.52,50.85,20.24,73.15,47.72
453,Amanda Love,STU0453,B.Tech CSE,45.56,66.4,74.1,49.5,30.72,5.65,32.85,34.57,52.68,41.37,67.2,34.68
454,Michael Warner,STU0454,B.Tech CSE,48.57,79.6,58.55,48.5,34.95,34.17,28.73,36.47,68.89,44.45,16.26,94.2
455,Sarah Nelson,STU0455,B.Tech AIML,58.0,14.83,38.95,52.77,92.61,22.3,74.4,84.99,34.28,43.06,24.09,44.91
456,Emily Todd,STU0456,B.Tech AIML,49.09,66.49,77.25,31.3,0.82,49.47,57.34,56.24,41.83,53.12,87.89,59.54
457,Michael Bond,STU0457,B.Tech CSE,40.67,37.5,45.75,90.92,45.42,49.51,37.94,77.47,99.0,61.27,52.07,50.92
458,Donald Miranda,STU0458,B.Tech AIDS,0.0,68.63,53.35,60.71,32.21,40.39,39.72,75.54,40.53,100.0,60.77,18.11
459,Taylor Powell,STU0459,B.Tech CSE,46.79,33.71,0.0,89.99,67.58,63.33,54.14,15.45,37.91,71.04,23.72,0.0
460,Natasha Kelly,STU0460,B.Tech AIDS,44.32,46.46,53.39,68.21,65.94,56.47,79.89,12.03,62.61,65.66,19.01,12.43
461,Jennifer Short,STU0461,B.Tech AIML,31.35,33.46,68.84,34.64,28.59,34.71,77.97,50.33,45.52,47.25,82.3,31.27
462,Karen Weeks,STU0462,B.Tech AIDS,82.89,55.26,45.99,100.0,23.61,41.16,19.19,73.81,92.23,91.75,80.6,45.06
463,Alexandra Nixon,STU0463,B.Tech AIDS,40.87,8.22,100.0,61.72,37.7,83.2,25.68,60.17,45.68,65.97,48.41,13.73
464,Adam Bailey,STU0464,B.Tech CSE,51.89,76.22,49.27,69.38,23.86,49.34,34.39,68.67,50.79,67.25,77.19,67.29
465,Russell Duarte,STU0465,B.Tech CSE,56.83,25.04,49.93,36.67,41.4,40.64,25.5,1.07,33.3,54.83,16.3,50.39
466,Margaret Davis MD,STU0466,B.Tech CSE,97.51,75.58,91.09,59.78,79.19,31.9,33.89,0.0,79.65,88.51,36.17,43.65
467,Karen Abbott,STU0467,B.Tech CSE,31.15,59.57,78.12,6.43,60.24,43.08,52.83,61.47,45.29,47.41,44.65,74.26
468,Monica Poole,STU0468,B.Tech CSE,60.47,55.51,18.23,40.54,72.47,50.94,66.49,94.16,75.97,52.33,37.23,0.0
469,Charles Ward,STU0469,B.Tech CSE,45.79,41.85,59.76,46.15,41.99,5.52,26.5,61.92,92.9,47.56,58.2,73.81
470,Amy Lewis,STU0470,B.Tech AIDS,29.73,59.17,31.49,71.62,53.79,57.46,30.44,67.68,100.0,24.8,41.51,55.79
471,Christopher Khan,STU0471,B.Tech AIDS,69.66,36.01,0.0,83.98,69.01,6.43,34.81,89.2,86.19,73.47,45.6,52.07
472,Paul Davis,STU0472,B.Tech CSE,46.73,78.21,28.1,29.86,75.26,48.89,84.46,33.21,48.63,26.94,50.18,13.04
473,Paul Bennett,STU0473,B.Tech AIML,37.81,14.09,67.35,67.91,6.74,83.35,100.0,51.15,33.97,100.0,17.03,50.5
474,Christina Turner,STU0474,B.Tech AIML,54.49,83.63,58.99,37.53,26.22,41.45,24.83,51.2,35.9,12.65,81.38,37.56
475,Anna Williams,STU0475,B.Tech CSE,18.3,45.79,51.71,6.34,58.29,23.82,92.78,63.1,40.0,31.37,47.38,65.32
476,Rachel Buckley MD,STU0476,B.Tech AIDS,49.36,44.57,51.46,34.9,41.42,0.0,74.34,57.47,30.66,97.47,52.18,24.1
477,Ryan Walker,STU0477,B.Tech AIDS,71.42,59.95,59.86,39.36,61.26,43.46,63.9,2.38,39.15,93.05,30.82,34.9
478,Dylan Conway,STU0478,B.Tech CSE,38.8,19.63,0.0,44.24,53.4,48.69,46.38,51.08,75.57,45.24,35.65,42.97
479,Joseph Allen,STU0479,B.Tech AIML,64.48,85.3,34.3,52.47,58.46,25.19,50.51,13.36,5.77,59.17,40.4,55.06
480,Christopher Irwin MD,STU0480,B.Tech CSE,49.55,25.59,48.87,19.17,84.77,16.1,45.11,23.94,64.26,41.71,37.03,71.33
481,Matthew Smith,STU0481,B.Tech CSE,50.74,62.92,25.47,14.88,52.68,42.03,65.66,48.0,55.13,9.42,97.21,45.89
482,Sandra Mata,STU0482,B.Tech AIDS,67.44,29.1,57.7,17.43,61.3,41.1,50.73,67.45,19.19,32.89,61.43,100.0
483,Peter Soto,STU0483,B.Tech AIML,46.55,64.78,47.33,98.56,6.32,52.37,9.36,0.0,57.44,53.49,42.88,47.35
484,Diane Young,STU0484,B.Tech CSE,100.0,43.55,62.75,33.77,57.38,44.04,39.74,95.47,79.43,53.42,0.0,40.97
485,Chad Harris,STU0485,B.Tech AIDS,100.0,44.23,77.58,86.05,55.47,28.95,0.0,67.1,29.63,54.4,18.75,43.37
486,Sandra Morris,STU0486,B.Tech AIDS,50.84,56.71,22.13,79.92,35.08,8.14,47.27,50.86,54.01,84.05,44.09,47.01
487,Jacqueline Thompson,STU0487,B.Tech AIDS,22.42,70.51,54.61,39.5,2.38,86.11,19.31,35.22,58.96,20.09,12.66,0.0
488,Tracy Salinas,STU0488,B.Tech AIDS,68.02,36.37,100.0,25.14,26.96,35.87,56.08,38.24,65.31,25.54,15.46,5.04
489,Matthew Barajas,STU0489,B.Tech CSE,0.0,37.05,42.48,34.21,81.09,80.7,41.63,5.15,35.83,35.0,33.57,32.56
490,Carl Perez,STU0490,B.Tech AIDS,33.66,40.34,34.11,55.21,59.01,27.23,81.78,25.5,9.55,59.52,29.56,58.03
491,Kimberly Dunn,STU0491,B.Tech AIML,0.0,84.81,66.81,12.49,13.03,91.81,31.57,29.15,0.0,41.23,44.31,67.89
492,Samantha Robinson,STU0492,B.Tech AIML,15.02,11.99,61.27,75.17,10.72,77.04,50.94,77.3,48.24,0.0,46.2,76.5
493,Jeffrey Riley,STU0493,B.Tech CSE,27.66,40.3,45.6,0.0,91.78,27.47,62.64,47.83,81.44,60.15,44.13,27.66
494,Sean Patel,STU0494,B.Tech AIML,69.95,3.16,66.15,22.52,81.31,54.03,66.1,52.05,6.19,28.48,66.81,54.17
495,Jason Owen,STU0495,B.Tech AIML,79.52,60.08,25.83,30.1,52.57,0.0,91.84,61.04,80.68,10.48,81.11,100.0
496,Anna Walters,STU0496,B.Tech CSE,16.98,69.29,50.03,11.39,62.32,70.84,34.97,79.15,8.33,12.63,53.41,50.63
497,Timothy Garcia,STU0497,B.Tech CSE,32.09,70.24,63.27,71.45,46.92,65.06,38.86,100.0,29.69,100.0,50.87,15.61
498,Brooke Burgess,STU0498,B.Tech CSE,84.2,53.15,71.28,80.6,58.45,35.19,74.39,50.02,67.15,0.0,61.17,34.04
499,Travis Perez,STU0499,B.Tech AIML,91.33,65.58,56.0,62.16,25.04,90.58,99.78,59.82,89.76,35.77,30.07,51.02
500,Charles Whitehead,STU0500,B.Tech AIDS,60.87,40.15,63.44,57.66,25.04,62.97,71.59,54.29,78.82,19.56,61.7,20.74
501,Meghan Hill,STU0501,B.Tech CSE,22.15,34.23,26.45,36.3,44.65,70.93,41.97,10.36,78.5,29.07,48.53,61.16
502,Jeremy Gaines,STU0502,B.Tech CSE,54.99,77.35,61.98,28.47,100.0,54.86,46.32,74.1,56.24,59.98,100.0,43.12
503,Jason Brown,STU0503,B.Tech AIDS,42.06,52.91,76.79,12.34,0.86,35.32,9.15,39.38,62.56,27.73,14.33,51.73
504,Christian Smith,STU0504,B.Tech AIML,71.56,7.63,70.51,70.43,73.85,80.46,100.0,41.1,52.74,39.59,50.05,88.32
505,Jeffery Bishop,STU0505,B.Tech AIML,16.37,28.47,84.43,75.5,40.92,71.36,58.53,87.51,51.86,75.64,100.0,64.95
506,Leah Wagner,STU0506,B.Tech AIML,51.23,68.06,40.87,100.0,54.5,43.18,29.11,77.43,71.68,37.57,64.41,12.29
507,Christopher Gordon,STU0507,B.Tech AIML,54.62,61.32,92.68,30.73,18.04,27.61,16.59,83.42,88.72,58.01,80.53,53.35
508,Rhonda Fischer,STU0508,B.Tech AIDS,47.62,41.67,42.24,11.3,56.61,48.99,68.63,52.34,45.93,28.22,51.8,68.46
509,Rhonda Marks,STU0509,B.Tech AIML,21.42,52.19,55.83,32.05,35.3,55.77,21.66,58.75,27.62,76.57,100.0,28.48
510,Andrea Ortiz,STU0510,B.Tech AIDS,63.36,31.83,76.02,18.37,62.01,28.18,44.83,24.22,70.56,29.08,63.8,41.4
511,Angela Garrett,STU0511,B.Tech AIDS,47.14,53.69,30.95,55.26,88.26,30.55,79.3,87.45,29.6,13.62,57.55,36.31
512,Kelly Hernandez,STU0512,B.Tech CSE,96.72,50.87,29.95,21.32,77.25,35.72,51.1,73.9,37.89,48.85,49.59,67.08
513,Suzanne Hernandez,STU0513,B.Tech AIDS,64.77,44.5,51.59,40.71,13.06,56.44,97.3,27.91,30.67,28.23,68.11,61.21
514,Anna Mcgee,STU0514,B.Tech AIDS,46.04,27.05,52.31,10.88,53.59,71.79,18.72,11.69,89.49,34.71,78.4,46.15
515,Alyssa King,STU0515,B.Tech CSE,45.95,60.96,27.9,53.31,40.46,16.99,58.44,43.42,46.07,19.75,89.79,71.92
516,Shane Rogers,STU0516,B.Tech CSE,74.1,42.36,6.77,98.82,48.47,31.28,60.42,79.18,49.42,81.96,77.07,23.09
517,Sean Valenzuela MD,STU0517,B.Tech CSE,33.16,73.94,0.0,46.26,14.23,38.09,42.53,41.04,36.19,22.57,100.0,96.69
518,Joseph Gonzalez,STU0518,B.Tech AIML,20.95,89.55,40.01,53.23,48.42,33.51,74.6,53.15,38.09,17.39,27.66,8.97
519,Lori Oliver DDS,STU0519,B.Tech CSE,50.31,20.08,43.36,84.25,79.98,49.19,47.82,97.0,63.02,41.8,14.35,59.85
520,Richard Pacheco,STU0520,B.Tech CSE,70.73,34.21,57.28,40.91,45.4,0.0,44.46,74.23,34.21,51.31,31.1,59.01
521,Teresa Campbell,STU0521,B.Tech AIDS,44.59,26.52,83.31,73.22,34.88,62.44,63.44,66.06,7.64,75.17,35.76,41.05
522,Ryan Patterson,STU0522,B.Tech CSE,100.0,57.55,40.34,0.0,84.74,16.37,24.91,41.72,85.41,69.33,46.05,57.71
523,Rhonda Scott,STU0523,B.Tech AIDS,34.99,53.49,51.83,74.22,74.18,62.35,40.94,68.55,47.7,22.95,39.92,52.11
524,Samantha Davis,STU0524,B.Tech AIDS,72.76,45.41,19.77,51.42,52.84,54.65,73.0,75.47,35.14,34.6,24.0,67.47
525,Jon Hickman,STU0525,B.Tech CSE,86.22,42.12,43.96,86.67,62.64,60.91,20.23,66.97,26.77,21.65,41.33,35.36
526,Scott Foster,STU0526,B.Tech CSE,44.46,13.98,73.97,78.19,1.32,74.46,29.74,71.42,48.29,50.72,45.37,80.3
527,Amanda Barber,STU0527,B.Tech CSE,19.01,65.2,77.53,67.91,100.0,36.78,73.93,47.35,80.84,49.81,40.3,82.65
528,Robert Berry,STU0528,B.Tech AIML,37.71,14.68,37.08,65.48,84.8,52.78,82.95,16.05,38.92,42.79,47.14,52.1
529,Joseph Goodwin,STU0529,B.Tech CSE,67.27,38.88,53.48,48.87,26.85,47.16,46.41,45.87,50.79,51.89,39.19,81.82
530,Andrew Rivers,STU0530,B.Tech AIDS,20.76,31.98,100.0,24.05,16.16,68.36,0.0,44.12,100.0,11.38,0.45,12.52
531,Laura Brady,STU0531,B.Tech AIML,72.46,78.12,37.19,67.08,84.76,94.68,43.84,0.0,29.48,39.33,43.53,45.3
532,Mary Rogers,STU0532,B.Tech AIML,77.97,81.86,45.71,77.46,58.94,51.61,72.66,51.81,100.0,14.04,37.12,46.84
533,David Wilson,STU0533,B.Tech AIML,60.99,81.7,49.39,14.44,71.06,68.87,1.45,49.9,10.25,33.38,27.43,70.23
534,Nicole Price,STU0534,B.Tech CSE,52.92,17.86,72.0,14.15,58.25,29.65,40.86,62.61,63.04,83.42,47.94,57.66
535,Melinda Marquez,STU0535,B.Tech AIDS,39.06,54.55,60.99,47.54,4.91,58.29,59.11,33.0,17.89,86.9,62.29,44.27
536,Ryan Bowman,STU0536,B.Tech CSE,21.57,29.45,82.56,53.44,36.24,62.74,29.64,87.52,83.82,38.34,34.28,0.0
537,Catherine Mcclain,STU0537,B.Tech CSE,12.96,16.51,53.38,41.84,16.37,42.97,62.63,63.2,2.51,46.79,15.42,72.54
538,Elizabeth Orr,STU0538,B.Tech CSE,69.6,27.55,30.85,38.47,0.0,58.4,43.18,74.25,22.54,34.52,12.34,24.89
539,Raymond Griffith,STU0539,B.Tech CSE,20.45,74.9,32.54,53.1,40.48,18.26,45.79,64.98,19.81,70.23,28.76,37.93
540,Nicholas Hamilton,STU0540,B.Tech AIML,63.27,33.41,50.94,42.13,53.23,0.0,4.26,65.4,75.93,27.24,43.9,57.37
541,Paul Gibson,STU0541,B.Tech AIDS,67.33,0.0,27.85,41.69,67.58,100.0,44.3,14.83,60.06,83.02,52.7,27.33
542,Christine Greene,STU0542,B.Tech AIML,73.95,66.59,24.35,59.54,74.93,79.55,48.34,41.05,80.68,19.75,60.96,15.75
543,Justin Rodgers,STU0543,B.Tech AIML,76.63,43.55,81.71,62.29,19.42,85.62,88.78,72.06,30.96,42.35,53.64,32.41
544,Ronald Cross,STU0544,B.Tech AIML,92.31,53.61,0.0,58.48,41.3,48.13,40.78,70.18,77.99,57.08,41.52,48.97
545,Tiffany Short,STU0545,B.Tech CSE,50.49,29.94,64.47,61.5,88.51,81.38,32.86,70.51,26.23,67.4,37.08,24.42
546,Thomas Leonard,STU0546,B.Tech AIDS,57.0,0.0,6.23,45.56,52.06,40.77,10.51,29.55,59.78,64.54,49.59,78.92
547,Jonathan Mccarthy,STU0547,B.Tech AIDS,59.93,31.31,42.99,14.93,47.3,77.8,67.13,85.05,42.43,83.65,45.17,86.79
548,Julie Guzman,STU0548,B.Tech CSE,49.45,67.68,86.88,45.16,55.46,82.22,46.67,16.98,100.0,38.26,53.97,78.9
549,Kelly Jackson,STU0549,B.Tech AIDS,34.79,24.8,56.34,5.17,42.8,56.13,43.25,11.41,89.85,52.59,85.78,43.5
550,Vanessa Hernandez,STU0550,B.Tech AIDS,28.0,56.73,44.61,20.56,86.74,34.44,3.99,83.2,37.39,34.8,5.87,93.52
551,Devin Mcguire,STU0551,B.Tech AIDS,17.76,51.46,72.82,60.54,48.51,7.46,29.76,54.7,30.32,55.08,67.04,74.06
552,Helen Johnson,STU0552,B.Tech AIML,19.35,100.0,69.19,49.96,77.24,100.0,14.03,44.37,0.0,54.82,59.13,49.02
553,Melinda Acosta,STU0553,B.Tech AIML,33.64,0.0,59.34,86.39,35.22,61.0,10.8,61.43,40.17,30.94,30.99,40.16
554,Emily Smith,STU0554,B.Tech AIDS,59.56,17.2,40.07,48.96,22.52,94.92,28.66,33.26,25.54,94.96,63.82,26.59
555,Carly Diaz DDS,STU0555,B.Tech AIDS,77.66,55.02,56.43,41.39,31.26,58.44,36.37,95.42,18.27,88.4,47.22,57.48
556,Roberta Hanson,STU0556,B.Tech AIDS,70.83,34.24,71.61,0.0,32.0,26.9,18.66,44.63,59.64,67.57,56.02,33.36
557,Jasmine Ochoa,STU0557,B.Tech AIDS,59.23,53.11,73.4,69.42,50.76,27.57,33.68,36.26,42.12,56.7,67.88,48.72
558,Robert Miles,STU0558,B.Tech AIML,50.4,53.58,37.1,26.87,6.11,32.62,61.83,32.43,44.05,61.66,63.02,23.01
559,Christopher Velez MD,STU0559,B.Tech CSE,74.93,78.18,21.75,29.4,79.78,46.33,0.0,15.01,43.77,20.92,39.66,50.81
560,Richard Burns,STU0560,B.Tech AIML,86.56,42.74,76.81,85.72,85.86,57.12,0.92,61.52,76.21,47.97,93.61,71.5
561,David Davenport,STU0561,B.Tech CSE,64.21,77.16,58.33,0.0,37.52,79.93,29.81,44.41,23.88,94.6,92.04,27.9
562,Robin Rush,STU0562,B.Tech AIDS,53.68,32.99,65.37,62.74,70.29,58.3,100.0,24.3,7.23,40.17,10.8,12.69
563,Howard James,STU0563,B.Tech CSE,24.97,26.95,26.13,62.96,37.35,45.51,72.36,30.84,43.39,59.14,1.46,0.0
564,Brandy Robinson,STU0564,B.Tech AIML,58.65,62.3,100.0,53.95,70.49,45.11,57.43,91.68,0.0,60.34,100.0,57.05
565,Brandon Mitchell,STU0565,B.Tech AIDS,91.26,34.27,49.2,50.84,0.0,20.8,22.58,70.55,71.8,58.1,70.6,45.9
566,Danielle Mcbride DDS,STU0566,B.Tech CSE,80.05,50.22,51.45,43.36,67.11,39.47,74.41,21.7,22.53,67.19,47.79,38.65
567,Paul Delgado,STU0567,B.Tech AIDS,72.25,34.82,44.99,84.98,88.48,89.31,42.95,80.77,26.28,27.33,0.0,91.82
568,Jonathan Wallace,STU0568,B.Tech CSE,28.4,46.84,27.24,67.38,40.61,17.38,61.04,14.16,29.06,0.0,14.4,54.46
569,Joseph Hudson,STU0569,B.Tech AIML,0.89,12.97,49.94,36.41,99.8,95.85,28.3,63.93,68.73,35.06,12.61,49.69
570,Justin Spears,STU0570,B.Tech AIML,45.68,39.11,61.06,31.23,21.2,52.73,59.65,20.58,73.2,5.74,35.55,43.55
